epoch: 9, loss: 767.27, wins per 10: 4, avg piece diff: 6.2
epoch: 19, loss: 2388.20, wins per 10: 5, avg piece diff: 6.6
epoch: 29, loss: 151.47, wins per 10: 5, avg piece diff: 5.8
epoch: 39, loss: 575.97, wins per 10: 5, avg piece diff: 5.2
epoch: 49, loss: 21.92, wins per 10: 1, avg piece diff: 2.4
epoch: 59, loss: 24.93, wins per 10: 4, avg piece diff: 8.0
epoch: 69, loss: 650.22, wins per 10: 5, avg piece diff: 5.6
epoch: 79, loss: 70.57, wins per 10: 4, avg piece diff: 4.2
epoch: 89, loss: 84.40, wins per 10: 3, avg piece diff: 3.2
epoch: 99, loss: 428.62, wins per 10: 6, avg piece diff: 5.8
epoch: 109, loss: 489.74, wins per 10: 4, avg piece diff: 4.0
epoch: 119, loss: 370.98, wins per 10: 3, avg piece diff: 3.4
epoch: 129, loss: 296.79, wins per 10: 3, avg piece diff: 1.6
epoch: 139, loss: 1267.52, wins per 10: 4, avg piece diff: 3.2
epoch: 149, loss: 499.75, wins per 10: 4, avg piece diff: 8.2
epoch: 159, loss: 112.24, wins per 10: 4, avg piece diff: 2.4
epoch: 169, loss: 2640.94, wins per 10: 1, avg piece diff: -3.2
epoch: 179, loss: 386.57, wins per 10: 3, avg piece diff: 3.0
epoch: 189, loss: 196.94, wins per 10: 1, avg piece diff: 0.4
epoch: 199, loss: 282.25, wins per 10: 2, avg piece diff: 0.6
epoch: 209, loss: 512.71, wins per 10: 3, avg piece diff: 2.8
epoch: 219, loss: 11.13, wins per 10: 4, avg piece diff: 6.2
epoch: 229, loss: 43.87, wins per 10: 4, avg piece diff: 4.8
epoch: 239, loss: 97.34, wins per 10: 3, avg piece diff: 0.2
epoch: 249, loss: 26.28, wins per 10: 3, avg piece diff: 3.6
epoch: 259, loss: 28.35, wins per 10: 5, avg piece diff: 6.6
epoch: 269, loss: 577.10, wins per 10: 4, avg piece diff: 2.6
epoch: 279, loss: 165.58, wins per 10: 4, avg piece diff: 7.8
epoch: 289, loss: 57.27, wins per 10: 2, avg piece diff: 4.2
epoch: 299, loss: 51.07, wins per 10: 2, avg piece diff: 2.0
epoch: 309, loss: 251.89, wins per 10: 3, avg piece diff: 3.6
epoch: 319, loss: 51.69, wins per 10: 2, avg piece diff: 1.4
epoch: 329, loss: 58.75, wins per 10: 2, avg piece diff: 4.4
epoch: 339, loss: 34.91, wins per 10: 6, avg piece diff: 8.6
epoch: 349, loss: 14.88, wins per 10: 6, avg piece diff: 9.2
epoch: 359, loss: 20.36, wins per 10: 4, avg piece diff: 3.4
epoch: 369, loss: 25.52, wins per 10: 5, avg piece diff: 7.2
epoch: 379, loss: 271.50, wins per 10: 3, avg piece diff: 3.6
epoch: 389, loss: 199.50, wins per 10: 3, avg piece diff: 4.6
epoch: 399, loss: 10.73, wins per 10: 1, avg piece diff: 0.6
epoch: 409, loss: 202.33, wins per 10: 8, avg piece diff: 6.0
epoch: 419, loss: 12.99, wins per 10: 2, avg piece diff: 2.6
epoch: 429, loss: 3.99, wins per 10: 3, avg piece diff: 1.0
epoch: 439, loss: 40.62, wins per 10: 3, avg piece diff: 5.0
epoch: 449, loss: 14.27, wins per 10: 3, avg piece diff: 3.4
epoch: 459, loss: 10.48, wins per 10: 3, avg piece diff: 3.4
epoch: 469, loss: 12.37, wins per 10: 2, avg piece diff: 0.0
epoch: 479, loss: 13.48, wins per 10: 6, avg piece diff: 6.8
epoch: 489, loss: 4.56, wins per 10: 2, avg piece diff: 1.2
epoch: 499, loss: 6.17, wins per 10: 6, avg piece diff: 10.0
epoch: 509, loss: 5.28, wins per 10: 5, avg piece diff: 7.0
epoch: 519, loss: 8.60, wins per 10: 5, avg piece diff: 9.0
epoch: 529, loss: 9.76, wins per 10: 4, avg piece diff: 5.8
epoch: 539, loss: 12.53, wins per 10: 6, avg piece diff: 7.4
epoch: 549, loss: 12.20, wins per 10: 3, avg piece diff: 8.4
epoch: 559, loss: 46.57, wins per 10: 3, avg piece diff: 3.0
epoch: 569, loss: 33.68, wins per 10: 2, avg piece diff: -0.8
epoch: 579, loss: 5.41, wins per 10: 3, avg piece diff: 2.6
epoch: 589, loss: 5.20, wins per 10: 3, avg piece diff: 3.0
epoch: 599, loss: 8.71, wins per 10: 6, avg piece diff: 5.4
epoch: 609, loss: 5.48, wins per 10: 4, avg piece diff: 5.0
epoch: 619, loss: 7.02, wins per 10: 6, avg piece diff: 7.4
epoch: 629, loss: 5.17, wins per 10: 3, avg piece diff: 3.2
epoch: 639, loss: 5.96, wins per 10: 2, avg piece diff: 0.8
epoch: 649, loss: 5.71, wins per 10: 3, avg piece diff: 3.4
epoch: 659, loss: 7.19, wins per 10: 5, avg piece diff: 7.8
epoch: 669, loss: 3.49, wins per 10: 4, avg piece diff: 5.2
epoch: 679, loss: 13.26, wins per 10: 7, avg piece diff: 9.8
epoch: 689, loss: 3.74, wins per 10: 3, avg piece diff: 3.8
epoch: 699, loss: 12.97, wins per 10: 2, avg piece diff: 1.4
epoch: 709, loss: 4.09, wins per 10: 3, avg piece diff: 6.2
