epoch: 9, loss: 0.00, wins per 10 games: 4, avg piece difference: 0.4
epoch: 19, loss: 0.00, wins per 10 games: 6, avg piece difference: 1.8
epoch: 29, loss: 0.00, wins per 10 games: 6, avg piece difference: -1.6
epoch: 39, loss: 0.00, wins per 10 games: 2, avg piece difference: -4.4
epoch: 49, loss: 0.00, wins per 10 games: 2, avg piece difference: -9.0
epoch: 59, loss: 0.00, wins per 10 games: 5, avg piece difference: -2.2
epoch: 69, loss: 0.00, wins per 10 games: 5, avg piece difference: -5.2
epoch: 79, loss: 0.00, wins per 10 games: 4, avg piece difference: -6.2
epoch: 89, loss: 0.00, wins per 10 games: 3, avg piece difference: -4.6
epoch: 99, loss: 0.00, wins per 10 games: 6, avg piece difference: 2.0
epoch: 109, loss: 0.00, wins per 10 games: 4, avg piece difference: -4.2
epoch: 119, loss: 0.00, wins per 10 games: 5, avg piece difference: -3.4
epoch: 129, loss: 0.00, wins per 10 games: 5, avg piece difference: 0.2
epoch: 139, loss: 0.00, wins per 10 games: 4, avg piece difference: -0.2
epoch: 149, loss: 0.00, wins per 10 games: 3, avg piece difference: -7.4
epoch: 159, loss: 0.00, wins per 10 games: 2, avg piece difference: -8.2
epoch: 169, loss: 0.00, wins per 10 games: 4, avg piece difference: -2.8
epoch: 179, loss: 0.00, wins per 10 games: 5, avg piece difference: -0.6
epoch: 189, loss: 0.00, wins per 10 games: 3, avg piece difference: -8.4
epoch: 199, loss: 0.00, wins per 10 games: 2, avg piece difference: -6.2
epoch: 209, loss: 0.00, wins per 10 games: 3, avg piece difference: -6.2
