epoch: 190869, loss: 17.33, wins per 10: 3, avg piece diff: -7.4
epoch: 190879, loss: 10.52, wins per 10: 4, avg piece diff: 0.4
epoch: 190889, loss: 7.87, wins per 10: 2, avg piece diff: -5.8
epoch: 190899, loss: 5.72, wins per 10: 1, avg piece diff: -8.8
epoch: 190909, loss: 4.99, wins per 10: 5, avg piece diff: -3.4
epoch: 190919, loss: 11.70, wins per 10: 2, avg piece diff: -8.4
epoch: 190929, loss: 8.56, wins per 10: 1, avg piece diff: -6.2
epoch: 190939, loss: 7.94, wins per 10: 4, avg piece diff: -5.0
epoch: 190949, loss: 7.02, wins per 10: 4, avg piece diff: -3.0
epoch: 190959, loss: 7.27, wins per 10: 0, avg piece diff: -16.0
epoch: 190969, loss: 5.42, wins per 10: 0, avg piece diff: -11.4
epoch: 190979, loss: 6.47, wins per 10: 3, avg piece diff: -6.0
epoch: 190989, loss: 7.97, wins per 10: 3, avg piece diff: -2.6
epoch: 190999, loss: 11.41, wins per 10: 4, avg piece diff: -2.4
epoch: 191009, loss: 7.30, wins per 10: 2, avg piece diff: -7.6
epoch: 191019, loss: 5.22, wins per 10: 0, avg piece diff: -14.0
epoch: 191029, loss: 5.22, wins per 10: 3, avg piece diff: -6.2
epoch: 191039, loss: 3.31, wins per 10: 4, avg piece diff: -2.8
epoch: 191049, loss: 9.60, wins per 10: 4, avg piece diff: -4.4
epoch: 191059, loss: 7.94, wins per 10: 3, avg piece diff: -5.6
epoch: 191069, loss: 11.21, wins per 10: 1, avg piece diff: -10.8
epoch: 191079, loss: 5.72, wins per 10: 4, avg piece diff: -0.8
epoch: 191089, loss: 13.99, wins per 10: 3, avg piece diff: -2.4
epoch: 191099, loss: 7.82, wins per 10: 3, avg piece diff: -9.8
epoch: 191109, loss: 13.00, wins per 10: 2, avg piece diff: -5.4
epoch: 191119, loss: 8.57, wins per 10: 3, avg piece diff: -6.4
epoch: 191129, loss: 7.19, wins per 10: 3, avg piece diff: -5.2
epoch: 191139, loss: 12.05, wins per 10: 2, avg piece diff: -3.0
epoch: 191149, loss: 6.91, wins per 10: 3, avg piece diff: -1.8
epoch: 191159, loss: 7.45, wins per 10: 4, avg piece diff: -2.0
epoch: 191169, loss: 6.12, wins per 10: 2, avg piece diff: -6.4
epoch: 191179, loss: 3.40, wins per 10: 3, avg piece diff: -5.8
epoch: 191189, loss: 7.95, wins per 10: 2, avg piece diff: -9.8
epoch: 191199, loss: 7.86, wins per 10: 4, avg piece diff: -3.6
epoch: 191209, loss: 6.31, wins per 10: 6, avg piece diff: -2.2
epoch: 191219, loss: 8.71, wins per 10: 8, avg piece diff: 5.4
epoch: 191229, loss: 4.99, wins per 10: 3, avg piece diff: -5.8
epoch: 191239, loss: 4.47, wins per 10: 5, avg piece diff: 2.0
epoch: 191249, loss: 5.17, wins per 10: 5, avg piece diff: -2.4
epoch: 191259, loss: 5.71, wins per 10: 4, avg piece diff: -5.4
epoch: 191269, loss: 10.95, wins per 10: 4, avg piece diff: -5.0
epoch: 191279, loss: 18.79, wins per 10: 1, avg piece diff: -1.6
epoch: 191289, loss: 7.58, wins per 10: 1, avg piece diff: -10.4
epoch: 191299, loss: 10.12, wins per 10: 4, avg piece diff: -2.6
epoch: 191309, loss: 12.75, wins per 10: 2, avg piece diff: -1.2
epoch: 191319, loss: 8.55, wins per 10: 2, avg piece diff: -6.4
epoch: 191329, loss: 12.37, wins per 10: 6, avg piece diff: 2.2
epoch: 191339, loss: 7.00, wins per 10: 4, avg piece diff: -2.6
epoch: 191349, loss: 2.87, wins per 10: 5, avg piece diff: -4.8
epoch: 191359, loss: 3.60, wins per 10: 4, avg piece diff: -2.6
epoch: 191369, loss: 4.16, wins per 10: 5, avg piece diff: -1.4
epoch: 191379, loss: 5.70, wins per 10: 5, avg piece diff: -2.0
epoch: 191389, loss: 6.60, wins per 10: 3, avg piece diff: -6.6
epoch: 191399, loss: 5.59, wins per 10: 3, avg piece diff: -4.8
epoch: 191409, loss: 4.46, wins per 10: 6, avg piece diff: -0.2
epoch: 191419, loss: 6.51, wins per 10: 3, avg piece diff: -1.0
epoch: 191429, loss: 5.54, wins per 10: 4, avg piece diff: -5.6
epoch: 191439, loss: 3.71, wins per 10: 5, avg piece diff: 6.2
epoch: 191449, loss: 7.29, wins per 10: 2, avg piece diff: -4.4
epoch: 191459, loss: 6.28, wins per 10: 4, avg piece diff: -5.8
epoch: 191469, loss: 8.54, wins per 10: 6, avg piece diff: 4.0
epoch: 191479, loss: 5.47, wins per 10: 3, avg piece diff: -3.8
epoch: 191489, loss: 4.91, wins per 10: 2, avg piece diff: -2.0
epoch: 191499, loss: 4.65, wins per 10: 2, avg piece diff: -5.6
epoch: 191509, loss: 7.66, wins per 10: 4, avg piece diff: -2.0
epoch: 191519, loss: 4.38, wins per 10: 4, avg piece diff: -2.8
epoch: 191529, loss: 4.32, wins per 10: 5, avg piece diff: 1.4
epoch: 191539, loss: 8.33, wins per 10: 2, avg piece diff: -4.4
epoch: 191549, loss: 4.30, wins per 10: 3, avg piece diff: -4.8
epoch: 191559, loss: 11.56, wins per 10: 7, avg piece diff: 1.4
epoch: 191569, loss: 9.24, wins per 10: 1, avg piece diff: -5.4
epoch: 191579, loss: 4.34, wins per 10: 4, avg piece diff: -0.2
epoch: 191589, loss: 5.51, wins per 10: 1, avg piece diff: -5.2
epoch: 191599, loss: 3.36, wins per 10: 3, avg piece diff: -7.8
epoch: 191609, loss: 5.23, wins per 10: 3, avg piece diff: -3.8
epoch: 191619, loss: 5.91, wins per 10: 3, avg piece diff: -2.4
