2025-03-10 09:16:04,147 INFO    MainThread:14192 [wandb_setup.py:_flush():68] Current SDK version is 0.19.2
2025-03-10 09:16:04,148 INFO    MainThread:14192 [wandb_setup.py:_flush():68] Configure stats pid to 14192
2025-03-10 09:16:04,148 INFO    MainThread:14192 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Talmid\.config\wandb\settings
2025-03-10 09:16:04,148 INFO    MainThread:14192 [wandb_setup.py:_flush():68] Loading settings from C:\Users\Talmid\Desktop\AI\Mancala\wandb\settings
2025-03-10 09:16:04,148 INFO    MainThread:14192 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-03-10 09:16:04,148 INFO    MainThread:14192 [wandb_init.py:_log_setup():523] Logging user logs to C:\Users\Talmid\Desktop\AI\Mancala\wandb\run-20250310_091604-Mancala 12\logs\debug.log
2025-03-10 09:16:04,152 INFO    MainThread:14192 [wandb_init.py:_log_setup():524] Logging internal logs to C:\Users\Talmid\Desktop\AI\Mancala\wandb\run-20250310_091604-Mancala 12\logs\debug-internal.log
2025-03-10 09:16:04,152 INFO    MainThread:14192 [wandb_init.py:init():641] calling init triggers
2025-03-10 09:16:04,152 INFO    MainThread:14192 [wandb_init.py:init():647] wandb.init called with sweep_config: {}
config: {'name': 'Mancala 12', 'checkpoint': 'Data/Player1/checkpoint12.pth', 'learning_rate': 0.001, 'epochs': 60000, 'start_epoch': 0, 'decay': 5000, 'gamma': 0.99, 'batch_size': 64, 'C': 200, 'Model': 'DQN(\n  (linear1): Linear(in_features=16, out_features=128, bias=True)\n  (linear2): Linear(in_features=128, out_features=64, bias=True)\n  (output): Linear(in_features=64, out_features=1, bias=True)\n)', 'device': 'cpu'}
2025-03-10 09:16:04,152 INFO    MainThread:14192 [wandb_init.py:init():674] starting backend
2025-03-10 09:16:04,385 INFO    MainThread:14192 [wandb_init.py:init():678] sending inform_init request
2025-03-10 09:16:04,411 INFO    MainThread:14192 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-03-10 09:16:04,411 INFO    MainThread:14192 [wandb_init.py:init():693] backend started and connected
2025-03-10 09:16:04,413 INFO    MainThread:14192 [wandb_init.py:init():786] updated telemetry
2025-03-10 09:16:04,476 INFO    MainThread:14192 [wandb_init.py:init():818] communicating run to backend with 90.0 second timeout
2025-03-10 09:16:05,245 INFO    MainThread:14192 [wandb_init.py:init():868] starting run threads in backend
2025-03-10 09:16:06,253 INFO    MainThread:14192 [wandb_run.py:_console_start():2415] atexit reg
2025-03-10 09:16:06,253 INFO    MainThread:14192 [wandb_run.py:_redirect():2265] redirect: wrap_raw
2025-03-10 09:16:06,253 INFO    MainThread:14192 [wandb_run.py:_redirect():2330] Wrapping output streams.
2025-03-10 09:16:06,253 INFO    MainThread:14192 [wandb_run.py:_redirect():2355] Redirects installed.
2025-03-10 09:16:06,260 INFO    MainThread:14192 [wandb_init.py:init():910] run started, returning control to user process
